Cidade,Sim,Não,Total,Doenças
NOVO CRUZEIRO,2,10,12,tabagismo
NOVORIZONTE,-,8,8,tabagismo
OLARIA,3,3,6,tabagismo
OLIMPIO NORONHA,-,4,4,tabagismo
OLIVEIRA,16,70,86,tabagismo
OLIVEIRA FORTES,-,6,6,tabagismo
ONCA DE PITANGUI,2,10,12,tabagismo
ORATORIOS,1,2,3,tabagismo
ORIZANIA,-,3,3,tabagismo
OURO BRANCO,15,44,59,tabagismo
OURO FINO,13,76,89,tabagismo
OURO PRETO,38,239,277,tabagismo
OURO VERDE DE MINAS,-,1,1,tabagismo
PADRE PARAISO,-,4,4,tabagismo
PAINEIRAS,1,7,8,tabagismo
PAINS,5,12,17,tabagismo
PAI PEDRO,-,4,4,tabagismo
PAIVA,-,6,6,tabagismo
PALMA,-,9,9,tabagismo
PALMOPOLIS,2,6,8,tabagismo
PAPAGAIOS,4,10,14,tabagismo
PARACATU,9,55,64,tabagismo
PARA DE MINAS,121,370,491,tabagismo
PARAISOPOLIS,26,67,93,tabagismo
PARAOPEBA,3,7,10,tabagismo
PASSA-VINTE,-,4,4,tabagismo
PASSOS,49,182,231,tabagismo
PATOS DE MINAS,63,241,304,tabagismo
PATROCINIO,19,74,93,tabagismo
PAULA CANDIDO,15,29,44,tabagismo
PECANHA,-,3,3,tabagismo
PEDRA AZUL,-,2,2,tabagismo
PEDRA DO ANTA,-,4,4,tabagismo
PEDRA DOURADA,-,1,1,tabagismo
PEDRALVA,13,49,62,tabagismo
PEDRAS DE MARIA DA CRUZ,-,1,1,tabagismo
PEDRINOPOLIS,1,2,3,tabagismo
PEDRO LEOPOLDO,4,23,27,tabagismo
PEQUI,4,7,11,tabagismo
PERDIGAO,4,13,17,tabagismo
PERDIZES,8,47,55,tabagismo
PERDOES,5,26,31,tabagismo
PERIQUITO,2,28,30,tabagismo
PESCADOR,1,5,6,tabagismo
PIAU,1,7,8,tabagismo
PIEDADE DE CARATINGA,8,26,34,tabagismo
PIEDADE DE PONTE NOVA,2,9,11,tabagismo
PIEDADE DO RIO GRANDE,1,2,3,tabagismo
PIEDADE DOS GERAIS,2,7,9,tabagismo
PIMENTA,7,15,22,tabagismo
PINGO-D'AGUA,1,3,4,tabagismo
PIRACEMA,2,5,7,tabagismo
PIRANGA,2,21,23,tabagismo
PIRANGUCU,11,32,43,tabagismo
PIRANGUINHO,11,75,86,tabagismo
PIRAPETINGA,3,18,21,tabagismo
PIRAPORA,1,14,15,tabagismo
PIRAUBA,4,13,17,tabagismo
PITANGUI,31,90,121,tabagismo
PIUMHI,39,101,140,tabagismo
PLANURA,7,21,28,tabagismo
POCO FUNDO,20,65,85,tabagismo
POCOS DE CALDAS,182,601,783,tabagismo
POMPEU,9,33,42,tabagismo
PONTE NOVA,35,114,149,tabagismo
PORTEIRINHA,8,27,35,tabagismo
PORTO FIRME,2,2,4,tabagismo
POTE,3,20,23,tabagismo
POUSO ALEGRE,123,366,489,tabagismo
POUSO ALTO,2,16,18,tabagismo
PRADOS,3,5,8,tabagismo
PRATA,5,23,28,tabagismo
PRATAPOLIS,4,18,22,tabagismo
PRATINHA,2,6,8,tabagismo
PRESIDENTE BERNARDES,-,4,4,tabagismo
PRESIDENTE JUSCELINO,2,5,7,tabagismo
PRESIDENTE KUBITSCHEK,1,3,4,tabagismo
PRUDENTE DE MORAIS,2,9,11,tabagismo
QUARTEL GERAL,2,7,9,tabagismo
QUELUZITO,-,2,2,tabagismo
RAPOSOS,6,21,27,tabagismo
RAUL SOARES,2,14,16,tabagismo
RECREIO,4,9,13,tabagismo
RESENDE COSTA,4,27,31,tabagismo
RESPLENDOR,5,26,31,tabagismo
RESSAQUINHA,2,5,7,tabagismo
RIACHINHO,5,6,11,tabagismo
RIACHO DOS MACHADOS,-,2,2,tabagismo
RIBEIRAO DAS NEVES,54,266,320,tabagismo
RIO ACIMA,-,5,5,tabagismo
RIO CASCA,2,16,18,tabagismo
RIO DOCE,3,11,14,tabagismo
RIO DO PRADO,1,-,1,tabagismo
RIO ESPERA,1,1,2,tabagismo
RIO NOVO,2,5,7,tabagismo
RIO PARDO DE MINAS,4,55,59,tabagismo
RIO PIRACICABA,2,10,12,tabagismo
RIO POMBA,15,75,90,tabagismo
RIO PRETO,-,1,1,tabagismo
RIO VERMELHO,-,2,2,tabagismo
RITAPOLIS,1,10,11,tabagismo
RODEIRO,1,1,2,tabagismo
ROMARIA,1,10,11,tabagismo
SABARA,37,149,186,tabagismo
SABINOPOLIS,5,15,20,tabagismo
SACRAMENTO,15,54,69,tabagismo
SALINAS,4,23,27,tabagismo
SALTO DA DIVISA,1,6,7,tabagismo
SANTA BARBARA,10,61,71,tabagismo
SANTA BARBARA DO LESTE,6,7,13,tabagismo
SANTA BARBARA DO MONTE VERDE,-,2,2,tabagismo
SANTA BARBARA DO TUGURIO,2,4,6,tabagismo
SANTA CRUZ DE MINAS,2,6,8,tabagismo
SANTA CRUZ DO ESCALVADO,1,3,4,tabagismo
SANTA JULIANA,4,22,26,tabagismo
SANTA LUZIA,9,56,65,tabagismo
SANTA MARGARIDA,7,45,52,tabagismo
SANTA MARIA DE ITABIRA,1,10,11,tabagismo
SANTA MARIA DO SALTO,1,1,2,tabagismo
SANTA MARIA DO SUACUI,1,6,7,tabagismo
SANTANA DE PIRAPAMA,-,4,4,tabagismo
SANTANA DO GARAMBEU,1,2,3,tabagismo
SANTANA DO JACARE,5,12,17,tabagismo
SANTANA DO PARAISO,17,62,79,tabagismo
SANTANA DOS MONTES,4,7,11,tabagismo
SANTA RITA DE CALDAS,10,35,45,tabagismo
SANTA RITA DE JACUTINGA,3,7,10,tabagismo
SANTA RITA DE MINAS,1,5,6,tabagismo
SANTA RITA DE IBITIPOCA,-,7,7,tabagismo
SANTA RITA DO SAPUCAI,39,157,196,tabagismo
SANTA ROSA DA SERRA,3,16,19,tabagismo
SANTA VITORIA,27,92,119,tabagismo
SANTO ANTONIO DO AMPARO,4,9,13,tabagismo
SANTO ANTONIO DO AVENTUREIRO,1,7,8,tabagismo
SANTO ANTONIO DO GRAMA,2,16,18,tabagismo
SANTO ANTONIO DO ITAMBE,-,21,21,tabagismo
SANTO ANTONIO DO JACINTO,2,1,3,tabagismo
SANTO ANTONIO DO MONTE,10,31,41,tabagismo
SANTO ANTONIO DO RETIRO,1,1,2,tabagismo
SANTO ANTONIO DO RIO ABAIXO,-,2,2,tabagismo
SANTO HIPOLITO,-,1,1,tabagismo
SANTOS DUMONT,2,9,11,tabagismo
SAO BENTO ABADE,4,7,11,tabagismo
SAO BRAS DO SUACUI,6,20,26,tabagismo
SAO DOMINGOS DAS DORES,8,4,12,tabagismo
SAO DOMINGOS DO PRATA,6,33,39,tabagismo
SAO FELIX DE MINAS,3,5,8,tabagismo
SAO FRANCISCO,-,13,13,tabagismo
SAO FRANCISCO DE SALES,6,14,20,tabagismo
SAO GERALDO,3,11,14,tabagismo
SAO GERALDO DO BAIXIO,-,4,4,tabagismo
SAO GONCALO DO ABAETE,2,6,8,tabagismo
SAO GONCALO DO RIO ABAIXO,3,12,15,tabagismo
SAO GONCALO DO SAPUCAI,24,71,95,tabagismo
SAO GOTARDO,13,64,77,tabagismo
SAO JOAO BATISTA DO GLORIA,17,33,50,tabagismo
SAO JOAO DA MATA,3,5,8,tabagismo
SAO JOAO DA PONTE,5,30,35,tabagismo
SAO JOAO DEL REI,29,141,170,tabagismo
SAO JOAO DO MANHUACU,3,12,15,tabagismo
SAO JOAO DO ORIENTE,10,25,35,tabagismo
SAO JOAO DO PARAISO,4,6,10,tabagismo
SAO JOAO NEPOMUCENO,15,60,75,tabagismo
SAO JOAQUIM DE BICAS,8,36,44,tabagismo
SAO JOSE DA BARRA,6,17,23,tabagismo
SAO JOSE DA LAPA,2,11,13,tabagismo
SAO JOSE DA SAFIRA,1,18,19,tabagismo
SAO JOSE DA VARGINHA,3,12,15,tabagismo
SAO JOSE DO ALEGRE,-,6,6,tabagismo
SAO JOSE DO DIVINO,4,13,17,tabagismo
SAO JOSE DO GOIABAL,2,7,9,tabagismo
SAO JOSE DO JACURI,-,1,1,tabagismo
SAO LOURENCO,32,200,232,tabagismo
SAO MIGUEL DO ANTA,4,15,19,tabagismo
SAO PEDRO DA UNIAO,3,13,16,tabagismo
SAO PEDRO DOS FERROS,8,21,29,tabagismo
SAO PEDRO DO SUACUI,1,4,5,tabagismo
SAO SEBASTIAO DA BELA VISTA,2,15,17,tabagismo
SAO SEBASTIAO DA VARGEM ALEGRE,1,6,7,tabagismo
SAO SEBASTIAO DO ANTA,-,1,1,tabagismo
SAO SEBASTIAO DO OESTE,2,3,5,tabagismo
SAO SEBASTIAO DO PARAISO,89,311,400,tabagismo
SAO SEBASTIAO DO RIO VERDE,1,8,9,tabagismo
SAO TIAGO,17,63,80,tabagismo
SAO TOMAS DE AQUINO,4,11,15,tabagismo
SAO THOME DAS LETRAS,-,2,2,tabagismo
SAO VICENTE DE MINAS,3,7,10,tabagismo
SAPUCAI-MIRIM,14,36,50,tabagismo
SARDOA,1,16,17,tabagismo
SARZEDO,16,53,69,tabagismo
SENADOR AMARAL,5,34,39,tabagismo
SENADOR FIRMINO,1,-,1,tabagismo
SENADOR JOSE BENTO,1,12,13,tabagismo
SENADOR MODESTINO GONCALVES,3,7,10,tabagismo
SENHORA DE OLIVEIRA,4,5,9,tabagismo
SENHORA DO PORTO,2,6,8,tabagismo
SENHORA DOS REMEDIOS,7,21,28,tabagismo
SERITINGA,-,7,7,tabagismo
SERRA AZUL DE MINAS,-,5,5,tabagismo
SERRA DA SAUDADE,1,3,4,tabagismo
SERRA DOS AIMORES,2,3,5,tabagismo
SERRA DO SALITRE,-,10,10,tabagismo
SERRANIA,8,37,45,tabagismo
SERRANOS,-,1,1,tabagismo
SERRO,4,20,24,tabagismo
SILVEIRANIA,1,1,2,tabagismo
SILVIANOPOLIS,6,13,19,tabagismo
SOBRALIA,-,1,1,tabagismo
SOLEDADE DE MINAS,3,27,30,tabagismo
TABULEIRO,1,4,5,tabagismo
TAPIRAI,3,8,11,tabagismo
TAQUARACU DE MINAS,-,1,1,tabagismo
TEIXEIRAS,2,18,20,tabagismo
TEOFILO OTONI,25,88,113,tabagismo
TIMOTEO,1,-,1,tabagismo
TIRADENTES,1,22,23,tabagismo
TIROS,2,3,5,tabagismo
TOCANTINS,3,17,20,tabagismo
TOCOS DO MOJI,2,14,16,tabagismo
TOLEDO,7,16,23,tabagismo
TOMBOS,3,12,15,tabagismo
TRES CORACOES,3,18,21,tabagismo
TRES PONTAS,69,201,270,tabagismo
TURMALINA,5,19,24,tabagismo
TURVOLANDIA,2,26,28,tabagismo
UBA,30,191,221,tabagismo
UBAI,-,4,4,tabagismo
UBAPORANGA,2,9,11,tabagismo
UBERABA,469,1429,1898,tabagismo
UBERLANDIA,235,912,1147,tabagismo
UMBURATIBA,1,5,6,tabagismo
UNAI,52,163,215,tabagismo
UNIAO DE MINAS,1,8,9,tabagismo
URUANA DE MINAS,1,4,5,tabagismo
URUCANIA,8,25,33,tabagismo
VARGEM ALEGRE,2,16,18,tabagismo
VARGEM GRANDE DO RIO PARDO,-,1,1,tabagismo
VARGINHA,61,134,195,tabagismo
VARJAO DE MINAS,1,9,10,tabagismo
VARZEA DA PALMA,8,56,64,tabagismo
VARZELANDIA,2,3,5,tabagismo
VAZANTE,4,9,13,tabagismo
VERDELANDIA,-,5,5,tabagismo
VERISSIMO,1,2,3,tabagismo
VERMELHO NOVO,12,20,32,tabagismo
VESPASIANO,10,121,131,tabagismo
VICOSA,41,218,259,tabagismo
VIEIRAS,-,3,3,tabagismo
VIRGEM DA LAPA,-,5,5,tabagismo
VIRGINIA,-,1,1,tabagismo
VOLTA GRANDE,-,2,2,tabagismo
WENCESLAU BRAZ,1,6,7,tabagismo
Total,7494,29141,36635,tabagismo
ABADIA DOS DOURADOS,-,2,2,infarto_mio
ABAETE,4,92,96,infarto_mio
ACAIACA,-,5,5,infarto_mio
ACUCENA,1,23,24,infarto_mio
AGUA BOA,-,1,1,infarto_mio
AGUA COMPRIDA,-,16,16,infarto_mio
AGUANIL,-,1,1,infarto_mio
AGUAS FORMOSAS,-,11,11,infarto_mio
AGUAS VERMELHAS,-,1,1,infarto_mio
AIMORES,1,32,33,infarto_mio
AIURUOCA,-,16,16,infarto_mio
ALAGOA,-,8,8,infarto_mio
ALBERTINA,-,8,8,infarto_mio
ALEM PARAIBA,11,207,218,infarto_mio
ALFENAS,3,134,137,infarto_mio
ALFREDO VASCONCELOS,-,11,11,infarto_mio
ALPERCATA,-,9,9,infarto_mio
ALPINOPOLIS,-,58,58,infarto_mio
ALTEROSA,2,59,61,infarto_mio
ALTO CAPARAO,-,1,1,infarto_mio
ALTO RIO DOCE,-,39,39,infarto_mio
ALVORADA DE MINAS,-,2,2,infarto_mio
AMPARO DO SERRA,-,4,4,infarto_mio
ANDRADAS,13,451,464,infarto_mio
CACHOEIRA DE PAJEU,-,4,4,infarto_mio
ANDRELANDIA,-,43,43,infarto_mio
ANGELANDIA,1,11,12,infarto_mio
ANTONIO CARLOS,1,51,52,infarto_mio
ANTONIO DIAS,-,2,2,infarto_mio
ANTONIO PRADO DE MINAS,-,5,5,infarto_mio
ARACAI,-,7,7,infarto_mio
ARACITABA,-,1,1,infarto_mio
ARACUAI,-,43,43,infarto_mio
ARAGUARI,6,331,337,infarto_mio
ARANTINA,-,1,1,infarto_mio
ARAPONGA,-,12,12,infarto_mio
ARAPORA,-,45,45,infarto_mio
ARAPUA,-,5,5,infarto_mio
ARAUJOS,1,10,11,infarto_mio
ARAXA,11,242,253,infarto_mio
ARCEBURGO,-,8,8,infarto_mio
ARCOS,5,113,118,infarto_mio
AREADO,3,21,24,infarto_mio
ARGIRITA,-,18,18,infarto_mio
ARICANDUVA,-,5,5,infarto_mio
ARINOS,4,14,18,infarto_mio
ASTOLFO DUTRA,2,40,42,infarto_mio
AUGUSTO DE LIMA,-,17,17,infarto_mio
BAEPENDI,11,83,94,infarto_mio
BALDIM,-,5,5,infarto_mio
BAMBUI,-,13,13,infarto_mio
BANDEIRA,-,3,3,infarto_mio
BARAO DE COCAIS,-,28,28,infarto_mio
BARAO DE MONTE ALTO,-,25,25,infarto_mio
BARBACENA,5,124,129,infarto_mio
BARRA LONGA,-,1,1,infarto_mio
BARROSO,4,71,75,infarto_mio
BELA VISTA DE MINAS,1,5,6,infarto_mio
BELO HORIZONTE,23,649,672,infarto_mio
BELO ORIENTE,3,66,69,infarto_mio
BELO VALE,-,4,4,infarto_mio
BERILO,-,3,3,infarto_mio
BERTOPOLIS,-,2,2,infarto_mio
BETIM,14,768,782,infarto_mio
BIAS FORTES,-,21,21,infarto_mio
BICAS,5,56,61,infarto_mio
BOA ESPERANCA,6,389,395,infarto_mio
BOCAIUVA,3,69,72,infarto_mio
BOM DESPACHO,2,176,178,infarto_mio
BOM JESUS DA PENHA,-,19,19,infarto_mio
BOM JESUS DO AMPARO,-,3,3,infarto_mio
BOM JESUS DO GALHO,-,5,5,infarto_mio
BOM REPOUSO,-,13,13,infarto_mio
BOM SUCESSO,2,86,88,infarto_mio
BONFIM,-,27,27,infarto_mio
BONFINOPOLIS DE MINAS,-,7,7,infarto_mio
BONITO DE MINAS,-,3,3,infarto_mio
BORDA DA MATA,5,121,126,infarto_mio
BOTELHOS,-,6,6,infarto_mio
BRASILANDIA DE MINAS,-,18,18,infarto_mio
BRASILIA DE MINAS,1,17,18,infarto_mio
BRAS PIRES,-,1,1,infarto_mio
BRAUNAS,1,2,3,infarto_mio
BRAZOPOLIS,6,93,99,infarto_mio
BRUMADINHO,3,109,112,infarto_mio
BUENO BRANDAO,-,43,43,infarto_mio
BUENOPOLIS,-,19,19,infarto_mio
BUGRE,1,17,18,infarto_mio
BURITIS,-,41,41,infarto_mio
BURITIZEIRO,-,17,17,infarto_mio
CABO VERDE,1,23,24,infarto_mio
CACHOEIRA DA PRATA,-,32,32,infarto_mio
CACHOEIRA DE MINAS,3,32,35,infarto_mio
CACHOEIRA DOURADA,-,10,10,infarto_mio
CAETANOPOLIS,1,10,11,infarto_mio
CAETE,1,67,68,infarto_mio
CAIANA,-,4,4,infarto_mio
CAJURI,-,12,12,infarto_mio
CALDAS,-,65,65,infarto_mio
CAMACHO,-,9,9,infarto_mio
CAMANDUCAIA,6,94,100,infarto_mio
CAMBUI,3,51,54,infarto_mio
CAMBUQUIRA,-,7,7,infarto_mio
CAMPANHA,1,75,76,infarto_mio
CAMPINA VERDE,4,17,21,infarto_mio
CAMPO BELO,8,228,236,infarto_mio
CAMPO FLORIDO,-,50,50,infarto_mio
CAMPOS ALTOS,-,37,37,infarto_mio
CAMPOS GERAIS,-,11,11,infarto_mio
CANAA,-,12,12,infarto_mio
CANAPOLIS,1,40,41,infarto_mio
CANA VERDE,-,5,5,infarto_mio
CANDEIAS,1,75,76,infarto_mio
CANTAGALO,1,2,3,infarto_mio
CAPARAO,1,5,6,infarto_mio
CAPELA NOVA,-,11,11,infarto_mio
CAPELINHA,-,12,12,infarto_mio
CAPETINGA,-,15,15,infarto_mio
CAPIM BRANCO,1,12,13,infarto_mio
CAPINOPOLIS,2,57,59,infarto_mio
CAPITAO ANDRADE,-,3,3,infarto_mio
CAPITAO ENEAS,-,4,4,infarto_mio
CAPITOLIO,-,13,13,infarto_mio
CAPUTIRA,-,11,11,infarto_mio
CARAI,-,3,3,infarto_mio
CARANAIBA,-,4,4,infarto_mio
CARANDAI,1,16,17,infarto_mio
CARANGOLA,1,50,51,infarto_mio
CARATINGA,2,330,332,infarto_mio
CARBONITA,2,12,14,infarto_mio
CAREACU,-,12,12,infarto_mio
CARLOS CHAGAS,1,47,48,infarto_mio
CARMESIA,1,22,23,infarto_mio
CARMO DA CACHOEIRA,-,7,7,infarto_mio
CARMO DA MATA,-,2,2,infarto_mio
CARMO DE MINAS,-,23,23,infarto_mio
CARMO DO CAJURU,3,54,57,infarto_mio
CARMO DO PARANAIBA,4,108,112,infarto_mio
CARMOPOLIS DE MINAS,1,70,71,infarto_mio
CARNEIRINHO,1,44,45,infarto_mio
CARRANCAS,-,5,5,infarto_mio
CARVALHOS,-,8,8,infarto_mio
CASCALHO RICO,-,2,2,infarto_mio
CASSIA,4,79,83,infarto_mio
CONCEICAO DA BARRA DE MINAS,-,15,15,infarto_mio
CATAGUASES,8,373,381,infarto_mio
CATAS ALTAS,-,10,10,infarto_mio
CATAS ALTAS DA NORUEGA,-,5,5,infarto_mio
CATUJI,-,4,4,infarto_mio
CAXAMBU,-,14,14,infarto_mio
CEDRO DO ABAETE,-,4,4,infarto_mio
CENTRAL DE MINAS,-,11,11,infarto_mio
CENTRALINA,-,44,44,infarto_mio
CHACARA,-,7,7,infarto_mio
CHALE,-,12,12,infarto_mio
CHAPADA DO NORTE,-,1,1,infarto_mio
CIPOTANEA,-,11,11,infarto_mio
CLARAVAL,1,12,13,infarto_mio
CLAUDIO,-,70,70,infarto_mio
COIMBRA,-,22,22,infarto_mio
COLUNA,-,18,18,infarto_mio
COMENDADOR GOMES,-,11,11,infarto_mio
COMERCINHO,-,1,1,infarto_mio
CONCEICAO DA APARECIDA,-,33,33,infarto_mio
CONCEICAO DAS PEDRAS,-,2,2,infarto_mio
CONCEICAO DAS ALAGOAS,4,65,69,infarto_mio
CONCEICAO DO PARA,1,14,15,infarto_mio
CONCEICAO DOS OUROS,1,34,35,infarto_mio
CONEGO MARINHO,-,19,19,infarto_mio
CONFINS,-,9,9,infarto_mio
CONGONHAL,-,21,21,infarto_mio
CONQUISTA,-,37,37,infarto_mio
CONSELHEIRO LAFAIETE,5,339,344,infarto_mio
CONSELHEIRO PENA,1,60,61,infarto_mio
CONSOLACAO,-,30,30,infarto_mio
CONTAGEM,15,537,552,infarto_mio
COQUEIRAL,-,22,22,infarto_mio
CORDISBURGO,-,16,16,infarto_mio
CORDISLANDIA,-,10,10,infarto_mio
COROACI,-,6,6,infarto_mio
COROMANDEL,5,82,87,infarto_mio
CORONEL FABRICIANO,21,304,325,infarto_mio
CORONEL MURTA,-,6,6,infarto_mio
CORONEL PACHECO,-,7,7,infarto_mio
CORREGO DO BOM JESUS,-,6,6,infarto_mio
CORREGO FUNDO,2,67,69,infarto_mio
COUTO DE MAGALHAES DE MINAS,-,2,2,infarto_mio
CRISTAIS,-,19,19,infarto_mio
CRISTIANO OTONI,-,7,7,infarto_mio
CRISTINA,4,157,161,infarto_mio
CRUCILANDIA,-,3,3,infarto_mio
CRUZEIRO DA FORTALEZA,1,30,31,infarto_mio
CRUZILIA,1,33,34,infarto_mio
CURVELO,8,344,352,infarto_mio
DATAS,-,7,7,infarto_mio
DELFIM MOREIRA,4,43,47,infarto_mio
DELFINOPOLIS,-,4,4,infarto_mio
DELTA,-,31,31,infarto_mio
DESCOBERTO,-,3,3,infarto_mio
DESTERRO DE ENTRE RIOS,1,18,19,infarto_mio
DESTERRO DO MELO,-,5,5,infarto_mio
DIOGO DE VASCONCELOS,-,9,9,infarto_mio
DIONISIO,1,46,47,infarto_mio
DIVINO,-,15,15,infarto_mio
DIVINOLANDIA DE MINAS,-,5,5,infarto_mio
DIVINOPOLIS,8,375,383,infarto_mio
DIVISA ALEGRE,-,1,1,infarto_mio
DIVISA NOVA,-,13,13,infarto_mio
DIVISOPOLIS,1,4,5,infarto_mio
DOM CAVATI,-,14,14,infarto_mio
DOM JOAQUIM,-,2,2,infarto_mio
DOM SILVERIO,2,11,13,infarto_mio
DONA EUSEBIA,-,10,10,infarto_mio
DORES DE CAMPOS,2,60,62,infarto_mio
DORES DE GUANHAES,-,10,10,infarto_mio
DORES DO INDAIA,-,35,35,infarto_mio
DORES DO TURVO,-,3,3,infarto_mio
DOURADOQUARA,1,2,3,infarto_mio
DURANDE,-,6,6,infarto_mio
ELOI MENDES,-,2,2,infarto_mio
ENTRE FOLHAS,-,6,6,infarto_mio
ENTRE RIOS DE MINAS,1,19,20,infarto_mio
ERVALIA,-,11,11,infarto_mio
ESMERALDAS,2,54,56,infarto_mio
ESPERA FELIZ,3,69,72,infarto_mio
ESPINOSA,-,24,24,infarto_mio
ESPIRITO SANTO DO DOURADO,-,17,17,infarto_mio
ESTIVA,-,40,40,infarto_mio
ESTRELA DALVA,-,14,14,infarto_mio
ESTRELA DO INDAIA,-,21,21,infarto_mio
ESTRELA DO SUL,-,9,9,infarto_mio
EUGENOPOLIS,2,19,21,infarto_mio
EWBANK DA CAMARA,-,8,8,infarto_mio
EXTREMA,9,228,237,infarto_mio
FAMA,-,1,1,infarto_mio
FARIA LEMOS,-,1,1,infarto_mio
FELICIO DOS SANTOS,-,2,2,infarto_mio
SAO GONCALO DO RIO PRETO,-,4,4,infarto_mio
FELISBURGO,-,3,3,infarto_mio
FELIXLANDIA,-,2,2,infarto_mio
FERNANDES TOURINHO,-,8,8,infarto_mio
FERVEDOURO,-,15,15,infarto_mio
FORMIGA,14,261,275,infarto_mio
FORTALEZA DE MINAS,4,34,38,infarto_mio
FORTUNA DE MINAS,-,12,12,infarto_mio
FRANCISCO BADARO,-,14,14,infarto_mio
FRANCISCO DUMONT,-,2,2,infarto_mio
FRANCISCO SA,2,8,10,infarto_mio
FREI INOCENCIO,1,17,18,infarto_mio
FREI LAGONEGRO,-,1,1,infarto_mio
FRONTEIRA,-,7,7,infarto_mio
FRONTEIRA DOS VALES,1,7,8,infarto_mio
FRUTA DE LEITE,-,4,4,infarto_mio
FRUTAL,5,107,112,infarto_mio
FUNILANDIA,-,3,3,infarto_mio
GALILEIA,-,13,13,infarto_mio
GAMELEIRAS,-,3,3,infarto_mio
GOIANA,-,1,1,infarto_mio
GONCALVES,1,32,33,infarto_mio
GOUVEIA,-,9,9,infarto_mio
GOVERNADOR VALADARES,19,963,982,infarto_mio
GRAO MOGOL,-,5,5,infarto_mio
GRUPIARA,-,16,16,infarto_mio
GUANHAES,9,245,254,infarto_mio
GUAPE,-,94,94,infarto_mio
GUARACIAMA,1,10,11,infarto_mio
GUARANESIA,-,75,75,infarto_mio
GUARANI,1,23,24,infarto_mio
GUARARA,1,2,3,infarto_mio
GUARDA-MOR,-,14,14,infarto_mio
GUAXUPE,9,213,222,infarto_mio
GUIDOVAL,-,36,36,infarto_mio
GUIMARANIA,-,7,7,infarto_mio
GURINHATA,-,5,5,infarto_mio
HELIODORA,-,31,31,infarto_mio
IAPU,-,13,13,infarto_mio
IBERTIOGA,-,21,21,infarto_mio
IBIA,2,34,36,infarto_mio
IBIRACI,1,30,31,infarto_mio
IBIRITE,11,304,315,infarto_mio
IBITIURA DE MINAS,-,38,38,infarto_mio
IBITURUNA,-,2,2,infarto_mio
IGARAPE,2,94,96,infarto_mio
IGARATINGA,1,29,30,infarto_mio
IGUATAMA,-,13,13,infarto_mio
ILICINEA,-,40,40,infarto_mio
IMBE DE MINAS,-,5,5,infarto_mio
INCONFIDENTES,-,25,25,infarto_mio
INDAIABIRA,-,15,15,infarto_mio
INDIANOPOLIS,-,6,6,infarto_mio
INHAPIM,4,94,98,infarto_mio
INIMUTABA,-,13,13,infarto_mio
IPABA,1,30,31,infarto_mio
IPANEMA,-,41,41,infarto_mio
IPATINGA,156,577,733,infarto_mio
IPUIUNA,2,88,90,infarto_mio
ITABIRA,4,220,224,infarto_mio
ITABIRINHA,-,6,6,infarto_mio
ITABIRITO,-,6,6,infarto_mio
ITACARAMBI,1,18,19,infarto_mio
ITAGUARA,-,23,23,infarto_mio
ITAIPE,-,4,4,infarto_mio
ITAJUBA,24,796,820,infarto_mio
ITAMARANDIBA,-,31,31,infarto_mio
ITAMARATI DE MINAS,-,56,56,infarto_mio
ITAMBACURI,-,20,20,infarto_mio
ITAMBE DO MATO DENTRO,-,1,1,infarto_mio
ITAMOGI,2,55,57,infarto_mio
ITAMONTE,-,18,18,infarto_mio
ITANHANDU,1,93,94,infarto_mio
ITANHOMI,2,30,32,infarto_mio
ITAOBIM,-,20,20,infarto_mio
ITAPAGIPE,2,58,60,infarto_mio
ITAPECERICA,-,17,17,infarto_mio
ITAPEVA,2,25,27,infarto_mio
ITATIAIUCU,1,25,26,infarto_mio
ITAU DE MINAS,1,142,143,infarto_mio
ITAUNA,7,158,165,infarto_mio
ITUETA,-,6,6,infarto_mio
ITUIUTABA,1,209,210,infarto_mio
ITUMIRIM,-,2,2,infarto_mio
ITURAMA,1,112,113,infarto_mio
ITUTINGA,-,18,18,infarto_mio
JABOTICATUBAS,-,26,26,infarto_mio
JACINTO,-,6,6,infarto_mio
JACUI,1,128,129,infarto_mio
JACUTINGA,1,90,91,infarto_mio
JAGUARACU,-,5,5,infarto_mio
JAIBA,-,8,8,infarto_mio
JAMPRUCA,-,6,6,infarto_mio
JANAUBA,-,32,32,infarto_mio
JANUARIA,-,112,112,infarto_mio
JAPARAIBA,-,5,5,infarto_mio
JAPONVAR,-,1,1,infarto_mio
JENIPAPO DE MINAS,-,9,9,infarto_mio
JEQUERI,-,32,32,infarto_mio
JEQUITAI,-,4,4,infarto_mio
JEQUITINHONHA,-,2,2,infarto_mio
JESUANIA,-,1,1,infarto_mio
JOAIMA,-,21,21,infarto_mio
JOANESIA,-,10,10,infarto_mio
JOAO MONLEVADE,1,86,87,infarto_mio
JOAO PINHEIRO,3,52,55,infarto_mio
JORDANIA,-,1,1,infarto_mio
JOSE GONCALVES DE MINAS,-,6,6,infarto_mio
JOSE RAYDAN,1,10,11,infarto_mio
NOVA UNIAO,1,19,20,infarto_mio
JUATUBA,-,21,21,infarto_mio
JUIZ DE FORA,17,704,721,infarto_mio
JURUAIA,-,17,17,infarto_mio
JUVENILIA,-,2,2,infarto_mio
LAGAMAR,1,34,35,infarto_mio
LAGOA DA PRATA,2,59,61,infarto_mio
LAGOA DOURADA,-,1,1,infarto_mio
